Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
31,YES,rare,1365,sales,13,4,Medical,1,,2,MALE,46,3,2,SALES EXECUTIVE,1,divorced,4233,11512,2,Y,0,17,3,3,80,0,9,2,1,3,1,1,2
35,no,Travel_Rarely,538,r&d,25,2,Other,1,652,1,M,54,,2,Lab Technician,4,Single,3681,14004,4,Y,0,14,3,4,80,0,9,3,3,3,2,0,2
31,no,TRAVEL_RARELY,525,sale,6,4,med,1,653,1,Male,66,4,2,Sales Exe,4,divorced,5460,6219,4,Y,no,22,4,4,80,2,13,4,4?,7,7,5,7
27,0,rare,798,,6,4,Medical,1,655,1,FEMALE,66,2,1,Research Scientist,3,Divorced,2187,5013,0,Y,0,12,3,3,80,2,6,5,2,5,3,,3
37,no,travel_rarely,558,Sale,2,3,,1,656,4,M,75,3,2,Sales Exe,3,married,9602,3010,4,Y,1,11,3,3,80,1,17,3,2,3,0,1,0
20,NO,travel_rarely,959,research & development,1,3,LS,1,657,4,f,83,2,1,Research Scientist,2,SINGLE,2836,11757,1,Y,NO,13,3,4,80,0,1,0,4,1,0,0?,0
42,0,rare,,R&D,2,4,ls,1,659,3,F,81,3,2,healthcare representative,4,married,4089,5718,1,Y,no,13,3,2,80,2,10,4,3,10,2,2,2
43,0,Travel_Rarely,782,Research & Development,6,4,OTHER,,661,2,Male,50,2,4,Research Director,4,Divorced,16627,,4,Y,YES,14,3,3,80,1,21_,3,2,1,0,0,0
38,NO,Travel_Rarely,362,Research & Development,1,1,life sciences,1,662,3,FEMALE,43,3,1,RESEARCH SCIENTIST,1,Single,2619,14561,3,Y,no,17,3,4,80,0,8,3,2,0,0,0,0
43,no,travel_frequently,1001,Research & Development,9,5,MEDICAL,1,663,4,m,72,3,2,lab technician,3,Divorced,5679,19627,3,Y,1,13,,2,80,1,10,3,3,8,7,4,7
48,NO,TRAVEL_RARELY,,r&d,1,4,LS,1,664,4,FEMALE,40,2,4,MANAGER,1,Married,15402,17997,7,Y,No,11,3,1,80,1,21,3,1,3,2,0,2
44,NO,rare,,human resources,1,4,LIFE SCIENCES,1,665,1,F,50,2,2,human resources,3,Single,5985,26894,4,Y,,11,3,2,80,0,10,1,4,2,2,0,2
34,no,TRAVEL_RARELY,204,Sales,14,3,TECHNICAL DEGREE,1,666,3,Female,31,3,1,sales rep,3,Divorced,2579,2912,1,Y,yes,18,3,4,80,2,8,3,3,8,2,0,6
27,Yes,travel_rarely,1420,Sales,2,1,marketing,1,667,3,MALE,85,3,1,sales representative,1,divorced,3041,16346,0,Y,NO,,3,2,80,1,5,3,3,4,3,0,2
21,0,Travel_Rarely,1343,Sale,22,1,technical degree,1,669,3,MALE,49,3,1,Sales Rep,3_,Single,3447,24444,1,Y,No,11,3,3,80,0,3,2,3,3,2,1,2
44,no,rare,1315,research & development,3,4,other,1,671,4,MALE,35,3,5,MANAGER,4,MARRIED,19513,9358,4,Y,1,12,3,1,80,1,26,2,4,2,2,0_,1
22,NO,rare,604,Research & Development,6,,Medical,1,675,1,Male,69,3,1,Research scientist,3,married,2773?,12145,0,,No,20,4,4,80,0,3,3,3,2,2,2,2
33,0,travel_rarely,1216,SALES,8,4,marketing,1,677,3,m,39,3,2,sales exe,3,DIVORCED,7104,20431,0,Y,No,12,3,4,80,,6,3,3,5,0_,1,2
32,0,rare,646,R&D,9,4,LIFE SCIENCES,1,679,1_,f,92,3,2,Research scientist,4,Married,6322,18089,1,Y,Yes,12,3,4,80,1,6,2,2,6,4,0,5
30,NO,travel_frequently,160,research & development,3,3,med,1,680,3,FEMALE,71,3,1,RESEARCH SCIENTIST,3,Divorced,2083,22653,1,Y,NO,20,4,3,80,1,1,2,3,1,0,0,0
53,no,rare,238,sales,1,1,Medical,1,682,,Female,34,3,2,Sales Exe,1,single,8381,7507,7,Y,No,20,4,4,80,0,18,2,4,14,7,8,10
34,No,rare,1397,research & development,1,5,Life Sciences,1,683,2,m,42,3,1,Research Scientist,4,MARRIED,2691,7660,1,Y,0,12,3,4,80,1,10,4,2,10,9,8,8
45,yes,TRAVEL_FREQUENTLY,306,sale,26_,4,Life Sciences,1,,,Female,100,3,2,sales executive,1,MARRIED,4286,,2,Y,NO,14,3,4,80,2,5,4,3,1,1,0,0
26,no,travel_rarely,991,r&d,6,3,ls,1,686,3,Female,71?,3,1,lab technician,4,MARRIED,,17759,1,Y,YES,13,3,3,80,1,3,,3,,2,0,2
37,no,travel_rarely,482,Research & Development,3,3,other,1,689,3,Male,36,3,3,Manufacture Director,3,married,9434,9606,1,Y,No,15,3,3,80,1,10,2,3,,7,7,8
29,no,rare,1176,SALES,3,2,Medical,1,690,2,F,62,3,2,Sales Executive,3,MARRIED,,3487,1,Y,No,14,3,1,80,1?,6,5,2,6,0,1,2
35,No,TRAVEL_RARELY,1017,research & development,6,4,Life Sciences,1,691,2,MALE,82,1,2,research scientist,4,Single,6646,19368,1,Y,No,13,3,2,80,0,17,3,3,17,11,11,8
33,0,frequent,1296,RESEARCH & DEVELOPMENT,6,3,LIFE SCIENCES,1,692,3,M,30,3,2,healthcare rep,4,divorced,7725,5335,3,Y,NO,23,4,3,80,1,15,2,1,13,11,4,7
54,No,Travel_Rarely,397,human resources,19,4,medical,1,698,3,Male,88,3,3,human resources,2,married,10725?,6729,2,,no,15,3,3,,1,16,1,4,9,7,7,1
36,No,rare,913,RESEARCH & DEVELOPMENT,9,2,med,1,699,2,Male,48,2,2,MANUFACTURING DIRECTOR,2,DIVORCED,8847,13934,2,Y,YES,11,3,3,80,1,13,2,3,3,2,0,2
27,NO,rare,1115,Research & Development,3,4,MEDICAL,1,700,1,M,54,2,1,Research Scientist,4,Single,2045,15174,0,Y,No,13,3,4,80,0,5,0,3,4,2,1,1
20,yes,travel_rarely,1362,RESEARCH & DEVELOPMENT,10,1,MED,1,701,,MALE,32,3,1,research scientist,3,single,1009,26999,1,Y,1,11,3,4,80,0,1,5,3,1_,0,1,1_
33,YES,,1076,RESEARCH & DEVELOPMENT,3,3,Life Sciences,1,702,1,m,70,3,1,research scientist,1,SINGLE,3348,,1,Y,Yes,11,3,1,80,0,10,3,3,10,8,9,7
35,NO,non-travel,727,research & development,3,3,ls,1,704,3,m,41,2,1,Lab Technician,3,MARRIED,1281,16900,1?,Y,No,18,3,3,80,2,1,3,3,1,0,0,0
23,NO,rare,885,Research & Development,4,3,med,1,705,1?,M,58,4,1,Research Scientist,1,Married,2819,8544,2,Y,No,16,3,1,80,1,5,3,4,3,2,0,2
25,NO,travel_rarely,810,SALES,8,3,Life Sciences,1,707,4,M,57,4,2,sales exe,2,MARRIED,4851,15678,0,Y,No,22,4,3,80,1,4,4,3,3,2,1,2
38,No,rare,243,SALES,7,4,marketing,1,709,4,Female,46,2,2,Sales Exe,4,SINGLE,4028,7791,0,Y,No,20,4,1,80,0,8,2,3,7,7,0,5
29?,No,frequent,806,r&d,1,4,ls,1,710,2,m,76,1,1,Research Scientist,4,divorced,2720,18959,1,Y,NO,18,3,4,80,1,10,5,3,10,7,2,8
48,No,rare,817,Sale,2,1,Marketing,1,712,2,m,56,4,2,sales exe,2,Married,8120?,18597,3,Y,no,12,3,4,80,0,12,3,3,2,2,2,2
27,0,TRAVEL_FREQUENTLY,1410,sale,3,1,MED,1,714,4,Female,71,4,2,Sales Exe,4,Divorced,4647,16673,1,Y,1,20,4,2?,80,2,6,3,3,,5,0,4
37,0,Travel_Rarely,1225,research & development,10,2,ls,1,715,4,M,80,4,1,Research scientist,4,SINGLE,4680,15232,3,Y,No,17,3,1,80,0,4,2,3,1,0,0,0
50,No,rare,1207,R&D,28,1,MED,1,716,4,,74,4,1,laboratory technician,3,MARRIED,3221,3297,1_,Y,YES,11,3,3,80,3,20,3,3,20,8,3,8
34,NO,travel_rarely,1442,Research & Development,9,3,medical,1,717,4,FEMALE,46,2,3,Healthcare Representative,2,SINGLE,8621,17654,1,Y,no,14,3,2,80,0,9,3,4,8,7,7,7
24,yes,travel_rarely,693,sales,3,2,LS,1,720,1,FEMALE,65,3,2,sales exe,3,Single,4577,24785,9,Y,0,14,3,1,80,0,4,3,3,2,2,2,0
39,0,rare,408,r&d,2,4,technical degree,1,721,4,F,80,2,2,healthcare representative,3,Single,4553,20978,1,Y,no,11,3,1,80,0,20,4,3,20,7,11,10
32,No,Travel_Rarely,929,sale,10,3?,mkt,1,722,4,MALE,55,3,2,sales exe,4,single,5396,21703,1,Y,No,12,3,4,80,0,10,2,2,10,7,0,8
50,1,travel_frequently,562,SALES,8,2,TECHNICAL DEGREE,1,723,2,M,50,3,2,sales exe,3,Married,6796,23452,3,Y,yes,14,3,1,80,1,18,4,3,4,,1,3
38,NO,Travel_Rarely,827,R&D,1,4,ls,1,724,2,f,33,4,2,Healthcare Rep,4,single,7625,19383,0,Y,NO,13,3,3,80,0,10,4,2,9,7,1_,8
27,,travel_rarely,608,R&D,1,2,LS,1,725,3,F,68,3,3,manufacturing director,1,Married,7412,6009,1,Y,No,11,,4,80,0,9,3,3,9,7,0,7
32,NO,travel_rarely,1018,R&D,3,2,LS,1,727,3,Female,39,3,3,RESEARCH DIRECTOR,4,single,11159,19373,3,Y,0,15,3,4,80,0,10,6,3,7,7,7,7
47,No,TRAVEL_RARELY,703,SALES,14,4,MARKETING,1,728,4,M,42,3,2,sales executive,1,Single,4960,11825,2,Y,no,12,,4,80,0,20,2,3,7,7,1,
40,0,frequent,580_,sales,5,4,LIFE SCIENCES,1,729,4,m,48,2,3,Sales Executive,1,,10475,23772,5,Y,1,21,4,3,80,1,20,2,3,18,13,1,12
53,No,travel_rarely,970,R&D,7,3,Life Sciences,1,730,3,M,59,4,4,RESEARCH DIRECTOR,3,MARRIED,14814,13514,3,Y,0,19,3,3,80,0,32,3,3,5,1,1,3
41,NO,Travel_Rarely,427,HR,10,4,HUMAN RESOURCES,1,731,2,M,73,2,5,Manager,4_,Divorced,19141,8861,3,Y,No,15,,2,80,3,23,2,2,21,6,12,6
,0,TRAVEL_RARELY,1179,Sale,16,4,MARKETING,1,732,1,MALE,84,3,2,sales exe,1,single,5405,11924,8,Y,No,14,3,4,80,0,10,1,3_,2?,2,2,2
27,no,Travel_Frequently,294,r&d,10,2,life sciences,1,733,4,MALE,32,3,3,manufacturing director,1,DIVORCED,8793,4809,1,Y,No,21,4,3,80,2,9,4,2,9,7,1,7
41,no,Travel_Rarely,314,human resources,1,3,Human Resources,1,734,4,m,59,2,5,Manager,3,married,19189,19562,1,Y,No,12,3,2,,1,22,3,3,22,7,2,10
50,0,rare,316,Sales,8,4,Marketing,1,738,4,MALE,54,3,1,Sales Rep,2,married,3875,9983,7,Y,No,15,3,4,80,1,4,,3,2,2,2,2
28,YES,Travel_Rarely,654,research & development,1,2,ls,1,741,1,F,67,1,1,Research Scientist,2,SINGLE,2216,3872,7,Y,1,13,3,4,80,0,10,4,3,7,7,3,7
36,0,NON-TRAVEL,427,research & development,8,3,life sciences,1,742,,FEMALE,63,4,3,research director,1,married,11713,20335,9,Y,0,14,3,1,80,1,10,2,3,8,7,0,5
38,NO,rare,168,,1,3,life sciences,1,743,3,FEMALE,81,3,3,MANUFACTURING DIRECTOR,3,SINGLE,7861,15397,4,Y,Yes,14,3,,80,0,10,4,4,1,0,0,0
44,NO,Nil,381,r&d,24,3,med,,744,1,,49,1,1,laboratory technician,3,single,3708,2104,2,Y,NO,14,3,3,80,0,9,5,3,5,2,1,4
47,no,Travel_Frequently,217,sales,3,3,MED,1,746,4,f,49,3,4,sales executive,3,divorced,13770,10225,9,Y,yes,12,3,4,80,2,28,2,2,22,2,11?,13
30,0,rare,501,Sale,27,5,MKT,1,747,3,Male,99,3,2,sales executive,4,divorced,5304,25275,7,Y,NO,23,4,4,80,1,10,2,2,8,7,7,7
29,0,Travel_Rarely,1396,Sales,10,3,LIFE SCIENCES,1,749,3,m,99,3,1,Sales Rep,3,SINGLE,2642,2755,1,Y,No,11,3,3,80,0,1,6,3,1,0,0,0
42,Yes,frequent,933,research & development,19,3,MEDICAL,1,752,3,m,57,4,1,,3,divorced,2759,20366,6,Y,Yes,12,3,4,80,0,7,2,3,2,2,2,2
43,No,Travel_Frequently,775,sale,15,3,LIFE SCIENCES,1,754,4,Male,47,2,2,,4,married,6804,23683,3,Y,No,18,3,3,80,1,7,5,3,2,2,2,2
34,0,travel_rarely,970,Research & Development,8,2,Medical,1,757,2,f,96,3,2,healthcare rep,3,SINGLE,6142,7360,3,Y,NO,11,3,4,80,0,10,2,3,5,1,4,3
23,NO,travel_rarely,650,R&D,9,1,MEDICAL,1,758,,MALE,37,3,1,LABORATORY TECHNICIAN,1,married,2500,4344,1,Y,No,14,3,4,80,1,5,2,4,4,3,0,2
39,no,rare,141,Human Resources,3,3,HUMAN RESOURCES,1,760,3,FEMALE,44,4,2,human resources,2,Married,6389,18767,9,Y,NO,15,3,3,80,1,12,3,1,8,,3,6?
56,0,TRAVEL_RARELY,832,RESEARCH & DEVELOPMENT,9,3,Medical,1,762,3,MALE,81,3,4,healthcare representative,4,married,11103,20420,7,Y,no,11,3,3,80,0,30,1,2,10,7,1,1
40,no,travel_rarely,804,RESEARCH & DEVELOPMENT,2,1,med,1,763,4,F,86,2,1,Research scientist,4,SINGLE,2342,22929,0,Y,YES,20,4,4,80,0,5,2,2,4,2,2,
27,no,travel_rarely,975,R&D,,3?,medical,1,764,4,F,55,2,2,Healthcare Representative,1,SINGLE,6811,23398,8,Y,no,19,3,1,80,0,9,2,1,7,6,0,7?
29,NO,rare,1090,sale,10,3,MKT,1,766,4,M,83,3,1,Sales Representative,2,DIVORCED,2297,17967,1,Y,no,14,3,4,80,2,2,2,3,2,,2,2
53,no,rare,346,RESEARCH & DEVELOPMENT,6,3,LS,1,769,4,M,86,3,2,Laboratory Technician,4,Single,2450,10919,2,Y,no,17,3,4,80,0,19,4,3,2,2,2,2
35,no,nil,1225,research & development,2,4,Life Sciences,1,771,4,F,61,3,2,healthcare representative,1,Divorced,5093,4761,2,Y,no,11,3,1,80,1,16,2,4,1,0,0,0?
32,No,travel_frequently,430,R&D,24,4,ls,1,,1,Male,80,3,2,Lab Technician,4,married,5309,21146_,1,Y,NO,15,3,4,80,2,10,,3,10,8,4,7
38,0,Travel_Rarely,268,Research & Development,2,5,med,1,773,4,MALE,92,3,1,Research scientist,3,MARRIED,3057,20471,6,Y,Yes,13,3,2,80,1,6,0,1,1,0,0,1
34,NO,travel_rarely,167,R&D,8,5,Life Sciences,1,775,2,F,32,3,2,Manufacturing Director,1,Divorced,5121,4187,3,Y,0,14,3,3,80,1,7,3,3,0,0,0,0
52,0,rare,621,Sales,3,4,Marketing,1,776,3,M,31,,4,manager,1,Married,16856,10084,1,Y,0,11,3,1,80,0,34,3?,4,34,6,1,16
33,1,Travel_Rarely,527,research & development,1,4,Other,1,780,4,MALE,63,3,1,Research Scientist,4,single,2686,5207,1,Y,yes,13,3,3,80,,10,2,2,10,9,7,8
25,no,rare,883?,Sales,26,1,med,1,781,3,Female,32,3,2,SALES EXECUTIVE,4,Single,6180,22807,1,Y,No,23,4,2,80,0,6,5,2,6,5,1,4
45,No,rare,954,Sale,2,2,TD,1,783,2,Male,46,1,2,Sales Representative,3,SINGLE,6632,12388,0,Y,no,13,3,1,80,0,9,3,3,8,7,3,1
23,0,rare,310,Research & Development,10,1,medical,1,784,1,M,79,4,1,research scientist,3,single,3505,19630,1,Y,no,18,3,4,80,0,2,3,3,2,2,0,2
47,1,frequent,719,sale,27,2,LIFE SCIENCES,1,785,2,,77,4,2,sales exe,3,single,6397,10339_,4,Y,Yes,12,3,4,80,0,8,2,3,,4,1,3
34,No,travel_rarely,304,Sales,2,3,Other,1,786,4,Male,60,3,2,sales executive,4,single,6274,18686,1,Y,no,22,4,3,80,0,6,5,3,6,5,1,4
55,1,TRAVEL_RARELY,725,research & development,2,3,Medical,1,787,4,m,78,3,5?,MANAGER,1,,19859,21199,5,Y,YES,13,3,4,,1,24,2,3,5,2,1,4
36,no,NON-TRAVEL,1434,sales,8,4?,LS,1,789,1,M,76,2,3,sales executive,1,SINGLE,7587,14229,1,Y,0,15,3,2,80,0,10,1,3?,10,7,0,9
52,,Nil,715,Research & Development,19,4,MEDICAL,1,791,4,MALE,41,3,1,Research scientist,4_,MARRIED,4258,26589,0,Y,No,18,3,1,80,1,5,,3,4,3,1,2
26,0,frequent,575,R&D,1,2,life sciences,1,792,1,F,71,1,1,Lab Technician,4,Divorced,4364,5288,3,Y,No,14,3,1,,1,,2,3,2_,2,2,0
29,0,rare,657,research & development,,3,Medical,1,793,2,FEMALE,66,3,2,healthcare representative,3,MARRIED,4335,25549,4,Y,No,12,3,1,80,1,11,3,2,8,7,1,1
26,YES,rare,1146,sale,8,3,TD,1,796,4,Male,38,2,2,sales executive,1,Single,5326,3064,6,Y,,17,3,3,80,0,6,2,2,4,3,1,2
34,NO,,182,R&D,1,4,LIFE SCIENCES,1,797,2,f,72,4,1,research scientist,4,single,3280,13551,2,Y,NO,16,3,3,80,0,10,2,3,4?,2,1,3
54,No,rare,376,Research & Development,19,4,med,1,799,4,Female,95,3,2,Manufacturing Director,1,divorced,5485,22670,9,Y,1,11,3,2,80,2,9,4,3,5,3,1,4
27,no,frequent,829,Sale,8,1,marketing,1,800,,m,84,3,2,sales exe,4,MARRIED,4342,24008,0,Y,NO,19,3,2,80,1,5_,3,3,4,2,1,1
37,No,Travel_Rarely,571,research & development,10,1,LS,1,802,4,F,82,3,1,,1,divorced,2782,19905,0,Y,YES,13_,3,2,80,2,6,3,2,5,3,4,3
,No,TRAVEL_FREQUENTLY,240,Research & Development,2,4,ls,1,803,1,FEMALE,75,4,2,manufacture director,1,,5980,26085,6?,Y,yes,12,3,4,80,0,17,2,3,15,7,4,12
34,0,Travel_Rarely,121,Research & Development,2,4,Medical,1,804,3,Female,86,2,1,research scientist,1,SINGLE,4381,7530,1,Y,NO,11,,3,80,0,6,3,3,6,5,1,3
35,no,rare,384,sale,8,4,Life Sciences,1,805,1,F,72,3,1,sales representative,4,married,2572,20317,1,Y,No,16,3,2,80,1,3,1,2,3,2,0,2
30,No,TRAVEL_RARELY,921,r&d,1,3,LS,1,806,4,m,38,1,1,laboratory technician,3,MARRIED,3833,24375,3,Y,No,21,4,3,80,2,7,2,3,,2,0,2
40,No,frequent,791,RESEARCH & DEVELOPMENT,2,2,Medical,1,807,3,f,38,4,2,healthcare representative,2,Married,4244,9931,1,Y,No,24,4,4,80,1,8,2,3,8,7,3,7
34,no,Travel_Rarely,1111,Sale,8,2?,LIFE SCIENCES,,808,3,Female,93,3,2,sales executive,1,married,6500,13305,5,Y,0,17,3,2,80,1,6,1?,3,3,2,1,2
42,No,frequent,570,research & development,8,3_,LS,1,809,2,Male,66,3,5,Manager,4,Divorced,18430,16225,1,Y,NO,13,3,2,80,1,24,4,2,,7,14,9
23,YES,TRAVEL_RARELY,1243,r&d,6,3,LS,1,811,3,M,63,4,1,LABORATORY TECHNICIAN,1,MARRIED,1601,3445,1,Y,YES,21_,4,3,80,,1,2,3,0,0,0,0
24,No,Nil,1092,Research & Development,9,3,LS,1,812,3,M,60,2,1,Laboratory Technician,2,Divorced,2694,26551,1,Y,0,11,3,3,80,3,1,4,3,1,0,0,0
52,no,travel_rarely,1325,research & development,11,4,ls,1,813,4,Female,82,3,2,Laboratory Technician,3,MARRIED,3149,21821,8,Y,no,20,4,2,80,1,9,3,3,5,2,1,4
50,no,Travel_Rarely,691,R&D,2,3,medical,1,815,3,M,64_,3,4,RESEARCH DIRECTOR,3,MARRIED,17639,6881,5,Y,no,16,3,4,80,0?,30,3,3,4,3,0,3
29,YES,TRAVEL_RARELY,805,r&d,1,2,ls,1,816,2,FEMALE,36,2,1,lab technician,1,MARRIED,2319,6689,1,Y,YES,11,3,4,80,1,1,1,3,1,0,0,
33,No,TRAVEL_RARELY,213,R&D,7_,3,Medical,1,817,3,m,49,3,3,RESEARCH DIRECTOR,3,MARRIED,11691,25995,0,Y,NO,11,3,4,80,0,14,3,4,13,9,3,7
33,yes,Travel_Rarely,118,SALES,16,3,MARKETING,1,819,1,f,69,3,2,Sales Executive,1,single,5324,26507,5,Y,NO,15,3,3,80,0,6,3,3,3,2,0,2
47,No,Travel_Rarely,202,R&D,2,2,Other,1,820,3,f,33,3,,MANAGER,4,married,16752,12982,1,Y,yes,11,3,3,80,1,26,3,2,26,14,3,0
36,No,travel_rarely,676,R&D,1?,3,OTHER,1,,3,F,35,3,2,manufacture director,2,married,5228,23361,0,Y,NO,15,3,1,80,1,10,2,3,9,7,0,5
29,NO,travel_rarely,1252,r&d,23,2,,1,,3,Male,81,4,1,research scientist,3,Married,2700,,1,Y,No,24,4,3,80,1,10,3,3,10,7,0,
58,1,rare,286,RESEARCH & DEVELOPMENT,2,4,LS,1,825,4,m,31,3,5,RESEARCH DIRECTOR,2,Single,19246,25761,7,Y,1,12,3,4,80,0,40,2,3,31,15,13,8
35,0,rare,1258,r&d,1,4,ls,1,826,4,Female,40,4,1,Research scientist,3,Single,2506,13301,3,Y,0,13,3,3,80,0,7,0,3,2,2,2,2
42,0,Travel_Rarely,932,Research & Development,1,2,Life Sciences,1,827,4,FEMALE,,2,2,Manufacturing Director,4,married,6062,4051,9,Y,Yes,13,3,4,80,1,8,4,3,4,3,0,2
28,,rare,890,RESEARCH & DEVELOPMENT,2,4,Medical,1,828,3,Male,46,3,1,RESEARCH SCIENTIST,3,Single,4382,16374,6,Y,No,17,3,4,80,0,5,3,2,2,2,2,1
,0,travel_rarely,1041,hr,13,3_,HR,1,829,3,M,36,3,1,HR,2,Married,2143,25527,4,Y,No,13,3,2,80,1,8,2,3,5,2,0,4
32,,,859,R&D,4,3,ls,1,830,3,FEMALE,98,2,2,Manufacture Director,3,married,6162,19124,1,Y,No,12,3,3,80,1,,3,3,14,13,6,8
40,no,Travel_Frequently,720,RESEARCH & DEVELOPMENT,16?,4,MED,1,832,1,,51,2,2,lab technician,,single,5094,11983,6,Y,0,14,3,4,80,0,10,6,3,1,0,0,0
30,NO,Travel_Rarely,946,R&D,2,3,MED,1,833,3,FEMALE,52,2,2,manufacture director,4,,6877,20234,5,Y,YES,24,4,2,80,0,12,4,2,0,0,0,0
45,0,Travel_Rarely,252,Research & Development,2,3,ls,1,834,2,f,95,2,1,research scientist,3,Single,2274,6153,1,Y,0,14,3?,4,80,0,1,3,,1,0,0,0
42,0,rare,933,Research & Development,29,,LS,1,836,2,M,98,3,2,Manufacture Director,2,MARRIED,4434,11806,1?,Y,No,13,3,4,80,1,10,3,2,9,8,7,8
38,NO,frequent,471,R&D,12,3,LIFE SCIENCES,1,837,1,Male,45,2,2,healthcare representative,1,divorced,6288?,4284,2,Y,No,15,3,3,80,1,13,3,2,4,3,1,2_
34,NO,frequent,702,Research & Development,16,4,life sciences,1,838,3_,FEMALE,100,2,1,research scientist,4,Single,2553,8306,1,Y,0,16,3,3,80,0,6,3,3,5,2,1,3
49,Yes,travel_rarely,1184,sales,11,3,mkt,1,840,3,F,43,3,3,SALES EXECUTIVE,4,Married,7654,5860,1,Y,0,18,3,1,80,2,9,3,4,9,8,7,7
55,1,TRAVEL_RARELY,436,Sales,2,1,medical,1,842,3,MALE,37,3,2,SALES EXECUTIVE,4,SINGLE,5160,,4,Y,No,16,3,3,80,0,12,3,2,9,7,7,3
43,no,rare,589,R&D,14,2,LS,1,843,2,Male,94,3,4,RESEARCH DIRECTOR,1,MARRIED,17159,5200,6,Y,no,24,4,3,80,1,22,3,3,4,1,1,0
27,NO,rare,269,RESEARCH & DEVELOPMENT,5,1,TECHNICAL DEGREE,1,844,3,,42,2,3,Research Director,4,Divorced,12808,8842,1,,1,16,3,2,80,1,9,,3,9,8,0,8
35,No,,950,Research & Development,7,3,Other,1,845,3,M,59,3,3,Manufacture Director,,single,10221,18869,3,Y,no,21,4,2,80,0,17,3,,8,5,1,6
28,NO,Travel_Rarely,760,sale,2,4_,MKT,1,846,2,Female,81,3,2,sales exe,2,MARRIED,4779,3698,1,Y,yes,20,4,1,80,0,8,2,3,8,7,7,5
34,,rare,829,HUMAN RESOURCES,3,2,human resources,1,847,3,m,88_,3,1,hr,4,married,3737,2243,0,Y,NO,19,3,,80,1,4,1,1,3,2,0,2
26,1,Travel_Frequently,887,RESEARCH & DEVELOPMENT,5,2,medical,1,848,3,F,88,2,1,research scientist,3,married,2366,20898,1,Y,1,14,3,1,80,1,8,2,3,8,7,1,7
27,no,non-travel,443,R&D,3,3,MEDICAL,1,850,4,Male,50,3,1,Research scientist,4,Married,1706,16571,1,Y,NO,11,3,3,80,3,0,6,2,0,0,0?,0
51,NO,rare,1318,SALES,26,4,mkt,1,851,1,F,66,3,4,manager,3,married,16307,5594,2,Y,NO,14,3,3,80,1,29,2,2,,6,4,17
44,NO,TRAVEL_RARELY,625,RESEARCH & DEVELOPMENT,4,3,med,1,852,4_,m,50?,3,2,healthcare rep,2,Single,5933,5197,9,Y,No,12,3,4,80,0,10,2,2,5,2,2,3
25,no,rare,180,RESEARCH & DEVELOPMENT,2,1,Medical,1,854,,M,65,4,1,research scientist,1,single,3424,21632,7,Y,No,13,3,3,80,0,6,3,2,,3,0,1
33,NO,,586,sales,1,3,Medical,1,855,1,M,48_,4,2,sales executive,1,DIVORCED,4037,21816,1,Y,No,22,4,1,80,1,9,5,3,9,8,0,8
35,NO,travel_rarely,1343,Research & Development,27,1,MEDICAL,1,856,3,Female,53,2,1,research scientist,1,single,2559,17852,1,Y,NO,11,3,4,80,0,6,3,2,6,5,1,1
36,no,Travel_Rarely,928,Sales,1,2,LS,1,857,2,Male,56,3,2,sales exe,4,Married,6201?,2823,1,Y,1,14,3,4,80,1,18,1,2,18,14,4,11
32,NO,TRAVEL_RARELY,117,SALES,13,4,LS,1,859,2,MALE,73,3,2,SALES EXECUTIVE,4,Divorced,4403,9250,2,Y,No,11,3,3,80,1,8,3,2,5,2,0,3
30,no,travel_frequently,1012,R&D,5,4,Life Sciences,1,861,2,M,75_,2,1,Research scientist,4,divorced,3761,2373,9,Y,no,12,3,2,80,1,10,3,2,5,4,0,3
53,0,rare,661,sales,7,2,mkt,1,862,1_,f,78,2_,3,Sales Exe,4?,Married,10934,20715,,Y,Yes,18,3,4,80,1,35,3,3,5,2,0,4
45,no,TRAVEL_RARELY,930,SALES,9,3,marketing,1,864,4,m,74,3,3,sales exe,1,divorced,10761,,4,Y,Yes,12,3,3,80,1,18,2,3,,4,0,2
32,No,TRAVEL_RARELY,638,Research & Development,8,2,Medical,1,865,3,FEMALE,91,4,2,research scientist,3,married,5175,22162,5,Y,NO,12,3,3,80,1,9,3,2,5,3,1,3
52,NO,TRAVEL_FREQUENTLY,890,RESEARCH & DEVELOPMENT,25,4,MEDICAL,1,867,3,Female,81,2,4,manufacture director,4,MARRIED,13826,,3,Y,No,22,4,3,80,0,31,3,3,9,8,0,0
37,NO,rare,342,sales,16,4,mkt,1,868,4,MALE,66,2,2,SALES EXECUTIVE,3,DIVORCED,6334,24558,4,Y,0,19,3,4,80,2,9,2,3,1,0,0,0
28,no,rare,1169,HR,8_,2,medical,1,869,2,MALE,63,2,1,HUMAN RESOURCES,4,divorced,4936,23965,1,Y,NO,13,3,4,80,1,6,6,3,,1,0,4
